org_id,tbl_id,tbl_name,category_path,axis_id,axis_name,axis_order,code_id,code_name,parent_code_id,is_item,unit_id,unit_name,unit_eng_name
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A07,로봇 서비스,A0,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A1,매출액별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A11,1억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A12,1~5억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A13,5~10억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A14,10~30억원 미만,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A15,30억원 이상,A1,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A2,종사자수별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A21,1~4인,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A22,5~9인,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A23,10~49인,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A24,50인 이상,A2,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A3,권역별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A31,수도권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A32,영남권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A33,충청권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,15401AA0_373,특성별,1,A34,호남권,A3,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T05,종사자수,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T07,남자,16401T05,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T08,여자,16401T05,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T09,직무별,,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T01,사무직 및 기타,16401T09,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T02,영업/마케팅,16401T09,N,,,
401,DT_401N_008,로봇산업 분야 직무별 종사자 수,로봇산업실태조사,A02,직무별,2,16401T04,연구개발,16401T09,N,,,
