org_id,tbl_id,code_type,obj_id,obj_name,code,name
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02233,아이스크림과 기타 식용빙과류(코코아를  함유한 것인지의 여부를 불문)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0224,유장 : 달리 명시되지 않은 천연밀크의 조성분을 함유하는 물품
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02241,유장 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02249,달리 명시되지 않은 천연밀크의 조성분을   함유하는 물품
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.023,밀크에서 얻어진 버터 및 기타의 지와 유
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0230,버터 및 기타의 지(脂) 와 유(油) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02300,기타(버터 및 기타의 지(脂) 와 유(油) )
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02301,버터
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02309,기타 버터 및 지와 유
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.024,치즈와 커드
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0241,갈았거나 분상의 치즈 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0242,가공치즈(갈았거나 분상의 것 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0243,블루바인 치즈 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0249,기타 치즈 : 커드
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02491,신선한 치즈(유장치즈 포함 발효하지 아니    한 것)와 커드
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02499,기타 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.025,새알 및 난황신선건조
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0251,새알 및 난황 껍질있는 것(신선 저장처리    조리된 것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02510,기타(새알 및 난황 껍질있는 것(신선 저장처리    조리된 것))
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02511,신선한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02519,기타 새알및 난황 껍질있는것(신선저장처리조리된것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0252,새알 및 난황껍질없는 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02521,건조한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.02522,기타(건조한 것 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0253,난백 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03,물고기갑각류연체동물 및 수생무척추동물
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.034,물고기신선(산것 포함)냉장 또는 냉동한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0341,물고기신선(산것 포함) 또는 냉장한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03410,기타(물고기신선(산것 포함) 또는 냉장한 것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03411,활어 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03412,연어류 신선 또는 냉장한 것(간장과 어란    제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03413,넙치류 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03414,다랑어 가다랑어 또는 줄무늬 버니토우(간    장과 어란 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03415,청어 정어리 사르디넬라 브리스링 또는    스프랫 신선 또는 냉장한 것(간장과 어
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03416,대구 신선 또는 냉장한 것(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03417,고등어 신선 또는 냉장한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03418,기타 고기 신선 또는 냉장한 것 (간장과    어란 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03419,간장과 어란(신선 냉장) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0342,냉동어류단 어류의 피레트 및 ¿게 썰은 고기제외
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03420,기타(냉동어류단 어류의 피레트 및 ¿게 썰은 고기제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03421,연어류(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03422,넙치류(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03423,다랑어 가다랑어 또는 줄무늬 버니토우    (간장과 어란 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03424,청어 정어리 사르디넬라 브리스링 또는    스프랫(간장과 어란 제외)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03425,대구(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03426,고등어(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03427,민대구(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03428,기타 물고기(간장과 어란 제외) 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03429,간장과 어란 냉동한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0344,냉동한 피레트 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03440,기타(냉동한 피레트 )
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03441,명태의 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03442,붕장어의 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03443,대구의 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03444,가자미의 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03449,기타 냉동한 피레트
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0345,어류의 피레트로 신선 또는 냉장한 것과 기타
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03451,피레트와 기타 어육 신선 또는 냉장한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03455,어육(피레트 제외) 냉동한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.035,건조.염장.염수장 또는 훈제한 어류
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0350,기타(건조.염장.염수장 또는 훈제한 어류)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0351,물고기건조염장 또는 염수장한 것으로 훈제하지 아니한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03511,대구 건조한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03512,피레트 건조 염장 또는 염수장한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03513,달리 명시되지 않은 물고기 건조한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0352,염장 또는 염수장한 어류
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03521,대구 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03522,멸치 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03529,기타 어류 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0353,물고기(피레트 포함) 훈제한 것 
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03530,기타(물고기(피레트 포함) 훈제한 것 )
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03531,태평양연어대서양연어 및 다뉴브연어
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03532,청어
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03539,기타 물고기훈제한것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.0354,간장과 어란 건조훈제염장 또는 염수장   한 것
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03540,기타(간장과 어란 건조훈제염장 또는 염수장   한 것)
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03541,가장
360,DT_1R11001_FRM101,classification,13101112831A,품목별,13102112831A.03542,어란
